ID,Country or Subregion,Serotype,Year,In / Out of Subregions,Epi. Week (a),Total of Dengue Cases (b),Incidence Rate (c),Laboratory Confirmed,% Lab Conf (x100),Severe Dengue (d),(SD/D) x100 (e),Deaths,CFR (f),Population X 1000
,,,2017,Out,52,"64,712","1,040.72","2,511",3.88,,,2,0.003,"6,218"
,,,2018,Out,52,"58,746",934.70,"2,103",3.58,,,6,0.010,"6,285"
,,,2019,Out,52,"186,173","2,962.18","10,587",5.69,"1,210",0.65,30,0.016,"6,285"
,,"DEN 2,3",2015,Out,52,"49,326",788.33,"4,082",8.28,15,0.03,15,0.030,"6,257"
,Panama,"DEN 1,2",2018,Out,52,"6,908",165.94,"4,201",60.81,11,0.16,3,0.043,"4,163"
,,"DEN 1,2,3",2015,Out,52,"3,347",83.93,"1,973",58.95,6,0.18,4,0.120,"3,988"
,,,2016,Out,52,"7,884",197.59,"1,902",24.12,12,0.15,9,0.114,"3,990"
,,,2017,Out,52,"9,077",221.44,"4,828",53.19,16,0.18,2,0.022,"4,099"
,,"DEN 1,3",2019,Out,52,"9,448",226.95,"5,343",56.55,14,0.15,6,0.064,"4,163"
,Central America Ithsmus and Mexico,  ,2015,In,,"408,412",237.54,"44,458",10.89,"7,084",1.73,81,0.020,"171,936"
,,,2016,In,,"295,228",168.70,"26,964",9.13,"1,405",0.48,64,0.022,"175,005"
,,,2017,In,,"186,013",104.90,"24,230",13.03,592,0.32,62,0.033,"177,318"
,,,2018,In,,"172,556",96.07,"22,370",12.96,"2,280",1.32,87,0.050,"179,616"
,,,2019,In,,"696,840",388.52,"65,220",9.36,"24,570",3.53,667,0.096,"179,357"
3,Bolivia,"DEN 1,2",2019,Out,52,"19,987",178.20,"7,353",36.79,102,0.51,30,0.150,"11,216"
,,"DEN 1,2,3",2018,Out,52,"7,727",68.89,"1,355",17.54,41,0.53,6,0.078,"11,216"
,,"DEN 1,2,4",2016,Out,52,"32,386",297.45,"4,413",13.63,61,0.19,2,0.006,"10,888"
,,"DEN 1,3",2017,Out,52,"9,239",83.60,917,9.93,68,0.74,2,0.022,"11,052"
,,"DEN 1,4",2015,Out,52,"27,099",245.80,"2,432",8.97,86,0.32,1,0.004,"11,025"
,Colombia,"DEN 1,2,3",2017,Out,52,"25,284",51.53,"6,784",26.83,236,0.93,15,0.059,"49,066"
,,,2018,Out,52,"44,825",90.62,"4,063",9.06,526,1.17,23,0.051,"49,465"
,,,2019,Out,52,"127,553",257.87,"38,016",29.80,"1,406",1.10,87,0.068,"49,465"
,,"DEN 1,2,3,4",2015,Out,52,"96,444",194.72,"39,475",40.93,"1,421",1.47,155,0.161,"49,529"
,,,2016,Out,52,"101,016",207.62,"45,809",45.35,899,0.89,60,0.059,"48,654"
,Ecuador,DEN 1,2018,Out,52,"3,099",18.38,131,4.23,6,0.19,1,0.032,"16,863"
,,"DEN 1,2",2019,Out,52,"8,416",49.91,821,9.76,38,0.45,2,0.024,"16,863"
,,"DEN 1,2,3,4",2015,Out,52,"42,473",261.76,"1,437",3.38,56,0.13,8,0.019,"16,226"
,,"DEN 1,2,4",2016,Out,52,"14,159",86.41,"14,159",100.00,39,0.28,4,0.028,"16,385"
,,"DEN 1,4",2017,Out,52,"11,387",68.49,"11,387",100.00,18,0.16,4,0.035,"16,625"
